business_id,address,city,postal_code,selected_postal_code,latitude,longitude,phone_number,tax_code,business_certificate,owner_zip,owner_name,owner_address,owner_city,owner_state,centroid_lat,centroid_long,Distance from centroid
1673,101 SPEAR St,S.F.,94105,94105,37.7926,-122.394,14155971545,H25,910191,94105,"PANOSSIAN, ABRAHAM & ODETTE",88 HOWARD #1213,S.F.,CA,37.78796406,-122.3977422,0.005957842
1939,74 NEW MONTGOMERY St,S.F.,94105,94105,37.7878,-122.401,null,H25,911744,84124,STARBUCKS COFFEE COMPANY,P.O. BOX 34076,SEATTLE,WA,37.78796406,-122.3977422,0.003261941
2132,62 02nd St,S.F.,94105,94105,37.7885,-122.4,null,H25,130412,94122,"B & M MEI SING RESTAURANT, INC",1830 40TH AVE.,S.F.,CA,37.78796406,-122.3977422,0.002320549
2135,180 HOWARD St,S.F.,94105,94105,37.7909,-122.393,null,H25,166507,94117,"HENG, SAMBATH",930 HAIGHT ST.,S.F.,CA,37.78796406,-122.3977422,0.005577461
2144,2 NEW MONTGOMERY St,S.F.,94105,94105,37.7883,-122.402,null,H24,395887,94030,KYO-YA COMPANY LTD.,1280 ROBLE,MILLBRAE,CA,37.78796406,-122.3977422,0.004271045
2818,36 02nd St,S.F.,94105,94105,37.7887,-122.401,null,H25,911744,98128,STARBUCKS COFFEE COMPANY,P O BOX 34167,SEATTLE,WA,37.78796406,-122.3977422,0.003339902
2967,132 EMBARCADERO,S.F.,94105,94105,37.7886,-122.394,null,H26,333418,90048,CHAYA & ASSOCIATES,8741 ALDEN DRIVE,LOS ANGELES,CA,37.78796406,-122.3977422,0.003795838
2996,345 SPEAR St,S.F.,94105,94105,37.7894,-122.39,null,H26,957285,98128,RUI TWO CORP,1818 N. NORTHLAKE WAY,SEATTLE,WA,37.78796406,-122.3977422,0.007874223
3032,126 NEW MONTGOMERY St,S.F.,94105,94105,37.7872,-122.4,null,H26,344493,80202,"CHIPOTLE MEXICAN GRILL, INC.",1543 WAZEE ST. #200,DENVER,CO,37.78796406,-122.3977422,0.002383592
3082,1 MARKET St,S.F.,94105,94105,37.7943,-122.395,null,H26,917941,94105,DELLAR REST ENTERPRISES INC,1 MARKET STREET SUITE 347,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.00690389
3090,101 SPEAR St A-16,S.F.,94105,94105,37.7926,-122.394,null,H26,114219,94105,"DEEM SUM INTERNATIONAL, INC.",101 SPEAR St A-16,S.F.,CA,37.78796406,-122.3977422,0.005957842
3100,101 MARKET St 4/fl,S.F.,94105,94105,37.7935,-122.396,null,H26,46324,28217,COMPASS GROUP USA,2400 YORKMONT ROAD,CHARLOTTE,NC,37.78796406,-122.3977422,0.005803604
3200,49 STEVENSON St,S.F.,94105,94105,37.7899,-122.399,null,H26,80381,94108,"ICF, INC.",611 WASHINGTON ST.,S.F.,CA,37.78796406,-122.3977422,0.002308668
3405,2 NEW MONTGOMERY St,S.F.,94105,94105,37.7883,-122.402,null,H26,395887,94030,KYO-YA COMPANY LTD.,1280 ROBLE,MILLBRAE,CA,37.78796406,-122.3977422,0.004271045
3484,1 MISSION St,S.F.,94105,94105,37.7935,-122.393,null,H26,927899,94109,"BOULEVARD, INC.",1945 PACIFIC AVE. #3C,S.F.,CA,37.78796406,-122.3977422,0.007289372
3728,650 HOWARD St,S.F.,94105,94105,37.7858,-122.4,null,H26,375322,98111,GOLD CLUB SF LLC,PO BOX 2602,SEATTLE,WA,37.78796406,-122.3977422,0.00312744
3858,110 NATOMA St,S.F.,94105,94105,37.7869,-122.399,null,H26,315373,94105,"UNITED HUNAN ENTERPRISES, INC.",110 NATOMA ST.,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.00164752
3859,661 HOWARD St,S.F.,94105,94105,37.7855,-122.4,null,H26,940243,94105,"THIRSTY BEAR BREWING CO., LLC",661 HOWARD STREEET,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.003342053
3898,198 02nd St,S.F.,94105,94105,37.7868,-122.398,null,H26,954330,94105,"UMBRIA, INC.",400 SPEAR ST. #121,S.F.,CA,37.78796406,-122.3977422,0.00119227
3960,2 FOLSOM STREET,S.F.,94105,94105,37.7908,-122.39,null,H26,377770,87102,"GAP, INC.",40 FIRST PLAZA CENTER NW,ALBUQUENQUE,NM,37.78796406,-122.3977422,0.008245242
3963,211 MAIN St 9/F,S.F.,94105,94105,37.7904,-122.393,null,H26,46324,28217,COMPASS GROUP USA,2400 YORKMONT ROAD,CHARLOTTE,NC,37.78796406,-122.3977422,0.005331241
4011,299 02nd St,S.F.,94105,94105,37.7856,-122.397,null,H86,350518,94105,MARRIOTT INTERNATIONAL,299 2ND ST.,S.F.,CA,37.78796406,-122.3977422,0.002477828
4015,141 02nd St,S.F.,94105,94105,37.7876,-122.399,null,H86,300095,94066,"LEE, STEPHANIE",1015 RIDGEWOOD DR.,MILLBRAE,CA,37.78796406,-122.3977422,0.00130944
4202,525 HARRISON St,S.F.,94105,94105,37.7856,-122.393,14155249646,H86,303694,94103,MIRROR CORPORATION,715 HARRISON STREET,S.F.,CA,37.78796406,-122.3977422,0.005298786
4598,98 HOWARD St,S.F.,94105,94105,37.7914,-122.392,null,H28,114128,94010,"R.J. PESUSIC, INC.",1186 TOURNAMENT DR.,HILLSBOROUGH,CA,37.78796406,-122.3977422,0.006691665
4739,525 MARKET St,S.F.,94105,94105,37.7907,-122.4,null,H28,147648,94611,STERLING I. ENTERPRISES INC.,2770 CHRISBROOK DR.,OAKLAND,CA,37.78796406,-122.3977422,0.003547263
4746,170 Spear St,S.F.,94105,94105,37.7916,-122.393,null,H28,147648,94549,STERLING M. ENTERPRISES INC,3875 LOS ARABIS DR.,LAFAYETTE,CA,37.78796406,-122.3977422,0.005975649
4824,1 HARRISON St,S.F.,94105,94105,37.7892,-122.389,14155292977,H28,377770,94105,"GAP, INC.",1  HARRISON ST,S.F.,CA,37.78796406,-122.3977422,0.008829121
5068,123 MISSION St,S.F.,94105,94105,37.7921,-122.395,null,H28,350147,94010,"DAJANI, KAYED A.",1830 SEQOUIA,BURLINGAME,CA,37.78796406,-122.3977422,0.004962416
6172,455 MARKET St 125,S.F.,94105,94105,37.7912,-122.399,null,H01,305933,94109,"SMITH, ADAM T.",2080 GOUGH ST. #314,S.F.,CA,37.78796406,-122.3977422,0.003471798
6212,390 01st St,S.F.,94105,94105,37.7862,-122.393,null,H01,304028,94105,"MGF ENTERPRISE, INC.",390 1ST STREET,S.F.,CA,37.78796406,-122.3977422,0.00505967
6747,57 NEW MONTGOMERY St,S.F.,94105,94105,37.788,-122.401,null,H03,423979,94105,F-M SMOKES & WINES INC.,57 NEW MONTGOMERY ST.,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.003258011
6912,121 NEW MONTGOMERY St,S.F.,94105,94105,37.7871,-122.4,14155783348,H28,309606,94116,"KU, SOON JA",2567 29TH AVE.,S.F.,CA,37.78796406,-122.3977422,0.002417503
7467,199 FREMONT St,S.F.,94105,94105,37.7893,-122.395,null,H07,368102,94565,"ARIEL VENTURES, LLC",471 RICH SPRING DR.,PITTSBURG,CA,37.78796406,-122.3977422,0.003050299
7502,320 MISSION St,S.F.,94105,94105,37.791,-122.396,null,H07,368102,94565,"ARIEL VENTURES, LLC",471 RICH SPRING DR.,PITTSBURG,CA,37.78796406,-122.3977422,0.003500305
7534,333 MARKET St,S.F.,94105,94105,37.792,-122.398,null,H07,368102,94105,"ARIEL VENTURES, LLC",320 MISSION St,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.004044164
9163,101 SPEAR STREET #A-14,SAN FRANCISCO,94105,94105,37.7926,-122.394,null,H24,910191,94105,"PANOSSIAN, ODETTE",101 SPEAR ST. #A-14,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.005957842
9164,122 NEW MONTGOMERY STREET,SAN FRANCISCO,94105,94105,37.7872,-122.4,null,H24,427245,94105,WORKNG GRLS CAFE INC NEW MONTG,122 NEW MONTGOMERY ST,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.002383592
9165,55 02nd St 150,SAN FRANCISCO,94105,94105,37.7885,-122.4,null,H25,363701,94123,"HARVEST & ROWE, INC.",2705 GREEN ST. #1,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.002320549
9652,342 HOWARD STREET,S.F.,94105,94105,37.7896,-122.395,null,H26,370856,94105,RRW LLC,342 HOWARD ST.,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.003193099
10099,651 HOWARD STREET,S.F.,94105,94105,37.7858,-122.399,null,H26,357830,94502,"PRIVE BAR LOUNGE, INC.",101 SWEET RD.,ALAMEDA,CA,37.78796406,-122.3977422,0.00250305
11304,PIER 28 1/2,S.F.,94105,94105,37.7879,-122.388,null,H25,365733,94133,"SITTING BY, INC.",1922 POWELL ST.,S.F.,CA,37.78796406,-122.3977422,0.009742398
11687,50 01st St,S.F.,94105,94105,37.7121,-122.455,null,H24,453964,94110,"MONROY, MARTHA",3868 24TH STREET,S.F.,CA,37.78796406,-122.3977422,0.095046373
12788,511 HARRISON STREET,S.F.,94105,94105,37.7859,-122.393,null,H30,368985,94102,"LA TERRA, LLC",672 SO. VAN NESS,SF,CA,37.78796406,-122.3977422,0.005171914
13623,149 NEW MONTGOMERY STREET,S.F.,94105,94105,37.7868,-122.4,null,H26,356054,94121,"SAN FRANCISCO MADELEINE, INC.",312 19TH AVENUE,S.F.,CA,37.78796406,-122.3977422,0.002540228
15222,50 Fremont St.,SF,94105,94105,37.7909,-122.397,null,H25,358709,94103,SAN FRANCISCO SOUP CO.,451 6TH STREET,S.F.,CA,37.78796406,-122.3977422,0.003028295
15738,149 02nd St,SF,94105,94105,37.7873,-122.399,null,H26,433320,94105,OSHA THAI 2ND STREET INC,301 MAIN ST #18A,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.001422347
16784,101 Spear St 22,SF,94105,94105,37.7926,-122.394,null,H24,389566,94547,"Gill, Amardeep S.",148 Copper Beech Glen,Hercules,CA,37.78796406,-122.3977422,0.005957842
17689,641 Mission St,SF,94105,94105,37.7871,-122.401,null,H25,388050,94105,"Ming's Coffee Shop, Inc.",641 Mission St.,SF,CA,37.78796406,-122.3977422,0.003370452
18120,118 NEW MONTGOMERY STREET,S.F.,94105,94105,37.7871,-122.4,null,H24,415026,94578,"MASARWEH GROUP, INC.",16081 CAMBRIAN DR.,SAN LEANDRO,CA,37.78796406,-122.3977422,0.002417503
18256,100 Folsom St,SF,94105,94105,37.79,-122.391,14155948119,H79,393878,94080,"VIZCAINO, RAFAEL",116 GRAND AVENUE,SO. S.F.,CA,37.78796406,-122.3977422,0.007042878
18616,579 HOWARD St,S.F.,94105,94105,37.7872,-122.398,null,H26,394521,94105,"Kate O'Brien's, Inc.",579 Howard St.,SF,CA,37.78796406,-122.3977422,0.000806386
19344,301 Howard St,SF,94105,94105,37.7897,-122.395,null,H24,358709,94103,San Francisco Soup Company,451 6th Street,San Francisco,CA,37.78796406,-122.3977422,0.003245469
22304,50 FREMONT St,S.F.,94105,94105,37.7909,-122.397,null,H29,349098,94121,"Yoo, Julie",133 Point Lobos Ave.,SF,CA,37.78796406,-122.3977422,0.003028295
26830,101 Spear St B-5,S.F.,94105,94105,37.7926,-122.394,null,H24,401172,94105,Juan Carlos Prado,101 Spear St. B-5,SF,CA,37.78796406,-122.3977422,0.005957842
27801,540 Howard St,SF,94105,94105,37.7878,-122.397,14155979942,H26,397546,94105,Zen Compound LLC,55 Natoma Street,SF,CA,37.78796406,-122.3977422,0.000760104
28843,2 Shaw Alley,SF,94105,94105,37.7887,-122.398,null,H25,395636,94105,Salt House LLC,2 Shaw Alley,SF,CA,37.78796406,-122.3977422,0.000779789
33069,53 STEVENSON St,S.F.,94105,94105,37.7897,-122.4,null,H25,403234,94105,"Rico Mex, Inc.",53 Stevenson St.,San Francisco,CA,37.78796406,-122.3977422,0.002848016
33448,78 02nd St,S.F.,94105,94105,37.7883,-122.4,null,H25,403235,94105,Caramba Inc,78 02nd St,San Francisco,CA,37.78796406,-122.3977422,0.002282668
33891,46 Minna St,San Francisco,94105,94105,37.7887,-122.398,null,H87,404920,94105,"Vespertine, Inc   Robert Nunez",46 Minna Street,San Francisco,CA,37.78796406,-122.3977422,0.000779789
33945,525 Market St 1st Floor,San Francisco,94105,94105,37.7907,-122.4,null,H26,344493,80202,"Chipotle Mexican Grill, Inc","1401 Wynkoop St, Suite 500",Denver,CO,37.78796406,-122.3977422,0.003547263
34143,50 Fremont St,San Francisco,94105,94105,37.7909,-122.397,null,H25,427406,94105,"Cello Concept, Inc   Farshad Afsarifard",50 Fremont,San Francisco,CA,37.78796406,-122.3977422,0.003028295
34411,201 Harrison St C,S.F.,94105,94105,37.7878,-122.391,null,H07,948168,94105,Osama Habash,"201 Harrison Street, Suite C",SF,CA,37.78796406,-122.3977422,0.006744183
34434,660 Howard St,SF,94105,94105,37.7857,-122.4,null,H26,421567,94105,Fang LLC,660 Howard Street,SF,CA,37.78796406,-122.3977422,0.003197452
34451,121 SPEAR St B19,S.F.,94105,94105,37.7919,-122.393,null,H24,415944,94103,THEO'S GROUP LLC,121 SPEAR ST. #B-12,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.006162787
34743,180 HOWARD St,S.F.,94105,94105,37.7909,-122.393,null,H25,417052,94117,"M&S Ventures, LLC.",400 Haight Street,San Francisco,CA,37.78796406,-122.3977422,0.005577461
35425,330 01st St,SF,94105,94105,37.6817,-122.481,null,H26,423238,94127,Fiscuer Baker & Farmer LLC,542 Monterey Blvd.,SF,CA,37.78796406,-122.3977422,0.134995979
35592,131 Steuart St,SF,94105,94105,37.7929,-122.393,null,H28,421312,94116,Little Saigon Deli,2100 29th Ave.,San Francisco,CA,37.78796406,-122.3977422,0.006844839
36048,101 Spear St A-9,S.F.,94105,94105,37.7926,-122.394,null,H24,355610,94105,Helena Ho,101 Spear Street A-9,SF,CA,37.78796406,-122.3977422,0.005957842
36205,83 Minna St,San Francisco,94105,94105,37.7879,-122.399,null,H26,421977,94105,"DSM Restaurant, LLC",83 Minna St,San Francisco,CA,37.78796406,-122.3977422,0.001259443
36369,525 MARKET St,S.F.,94105,94105,37.7907,-122.399,null,H03,424458,94105,Shinyoung Watson,525 Market St,San Francisco,CA,37.78796406,-122.3977422,0.00301122
36512,369 Embarcadero,San Francisco,94105,94105,37.7886,-122.394,null,H26,419041,94105,Land and Sea Restaurants LLC   Pat Kuleto,369 Embarcadero,San Francisco,CA,37.78796406,-122.3977422,0.003795838
36513,399 Embarcadero,San Francisco,94105,94105,37.7886,-122.394,null,H26,419041,94105,Land and Sea Restaurants LLC,399 Embarcadero,San Francisco,CA,37.78796406,-122.3977422,0.003795838
37655,83 01st St,S.F.,94105,94105,37.79,-122.398,null,H86,426928,94105,"The Bar Downtown, LLC",83 1st Street,SF,CA,37.78796406,-122.3977422,0.002052196
38201,215 Fremont St,SF,94105,94105,37.7889,-122.395,null,H25,322906,94103,"R Venve Inc.  Randy Negi, President",67 Fifth Street,SF,CA,37.78796406,-122.3977422,0.002897511
38318,163 MAIN STREET,S.F.,94105,94105,37.7909,-122.394,null,H29,424236,94105,Pranav Panchal,163 Main Street,SF,CA,37.78796406,-122.3977422,0.004756437
39052,150 SPEAR St,S.F.,94105,94105,37.792,-122.393,null,H28,180332,94104,"Specialty's Caf̩ & Bakery, Inc.","115 Sansome Street, Suite 300",SF,CA,37.78796406,-122.3977422,0.006227129
39053,101 New Montgomery St,S.F.,94105,94105,37.7873,-122.4,null,H29,180332,94104,"Specialty's Caf̩ & Bakery, Inc.","115 Sansome Street, Suite #300",SF,CA,37.78796406,-122.3977422,0.002353443
39667,595 Market St  Suite #143,SF,94105,94105,37.7894,-122.401,null,H25,196325,94608,Peet's Coffee & Tea,1400 Park Avenue,Emeryville,CA,37.78796406,-122.3977422,0.003560233
39708,155 STEUART St,S.F.,94105,94105,37.7927,-122.392,null,H26,433378,94105,BUTLER EMBARCADERO LP,155 STEUART STREET,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.00744324
39824,301 Mission St,SF,94105,94105,37.791,-122.396,null,H26,428912,94102,301 Mission Restaurant Co. LLC,"335 Powell Street, 13th Floor",SF,CA,37.78796406,-122.3977422,0.003500305
57754,345 Spear St 3rd Floor,San Francisco,94105,94105,37.7894,-122.39,null,H84,477404,94065,"Guckenheimer Enterprises, Inc at Google SF","3 Lagoon Dr, Suite 325",Redwood Shores,CA,37.78796406,-122.3977422,0.007874223
59019,1 MARKET St,S.F.,94105,94105,37.7943,-122.395,null,H24,436240,94030,Hyuk Pil Suh,484 Richmond Dr.#1,Millbrae,CA,37.78796406,-122.3977422,0.00690389
60208,54 02nd St,S.F.,94105,94105,37.7885,-122.401,null,H24,438729,94122,Khaldoun Ramadan,2115 Irving St.,SF,CA,37.78796406,-122.3977422,0.003301601
60908,61 NEW MONTGOMERY St,S.F.,94105,94105,37.7879,-122.401,null,H01,441164,10011,"Crunch, LLC",22 West 19th Street - 4/F.,New York,NY,37.78796406,-122.3977422,0.003258442
61336,662 Mission St,SF,94105,94105,37.7869,-122.401,null,H86,443715,94105,"N662, LLC",662 Mission St.,SF,CA,37.78796406,-122.3977422,0.003427181
61602,690 Mission St,San Francisco,94105,94105,37.7865,-122.402,null,H26,441113,94105,"G680 Group, Inc.   Kenneth Zankel",690 Mission St,San Francisco,CA,37.78796406,-122.3977422,0.004502493
61623,84 02nd St,San Francisco,94105,94105,37.7882,-122.4,null,H28,940867,94105,Nassir A. Zuguayir & Tammy Zuguayir,84 2nd St.,San Francisco,CA,37.78796406,-122.3977422,0.002270107
61643,615 Market St,SF,94105,94105,37.789,-122.402,null,H28,147648,94107,"Sterling M. Enterprises, Inc.",303 2nd Street,Sf,CA,37.78796406,-122.3977422,0.004382024
61802,195 BEALE St,S.F.,94105,94105,37.79,-122.394,null,H28,443359,94014,Calvin Chan,1067 Scherwin St.,Daly City,CA,37.78796406,-122.3977422,0.004260165
62334,"318 Spear St 1A, 1B",SF,94105,94105,37.7898,-122.391,null,H26,435918,94105,"ReROUTE, LLC","100 Embarcadero, Suite 260",SF,CA,37.78796406,-122.3977422,0.006987686
62889,22 HAWTHORNE St,S.F.,94105,94105,37.7856,-122.399,null,H26,447694,94105,"Benu, LLC",22 Hawthrone Street,Sf,CA,37.78796406,-122.3977422,0.002677851
62896,405 Howard St Suite 130,SF,94105,94105,37.7891,-122.395,null,H25,444695,94107,Spice Kit LLC,"405 Howard St., #130",SF,CA,37.78796406,-122.3977422,0.002968155
63223,345 SPEAR St,S.F.,94105,94105,37.7895,-122.39,null,H01,441164,10011,"Crunch, LLC","22 West 19th Street, 3rd Floor",New York,NY,37.78796406,-122.3977422,0.007893071
64454,59 New Montgomery St,SF,94105,94105,37.7879,-122.401,null,H24,453558,94580,"Buddha Boy Foods, Inc.",15707 Via Represa,San Lorenzo,CA,37.78796406,-122.3977422,0.003258442
64581,222 02nd St,SF,94105,94105,37.7865,-122.398,null,H79,452039,94107,Zee Cooks LLC,"1 South Park, Unit 405",San Francisco,CA,37.78796406,-122.3977422,0.001486589
64661,200 Folsom St,SF,94105,94105,37.7894,-122.392,null,H01,45192,94105,Greyhound Lines Inc.,200 Folsom Street,SF,CA,37.78796406,-122.3977422,0.005919006
65248,"Pier 30, Embarcadero",S.F.,94105,94105,37.7886,-122.394,null,H24,454750,94123,Tiffany Pisoni & Salvatore Chiavino,3551 Pierce St.,SF,CA,37.78796406,-122.3977422,0.003795838
65380,667 Mission St,SF,94105,94105,37.7868,-122.401,null,H28,476768,94103,"Soup Freaks, Inc.",81-B Lafayette Street,SF,CA,37.78796406,-122.3977422,0.003459535
65635,455 Market St 150,SF,94105,94105,37.7912,-122.399,null,H28,455335,94105,"Focaccia Market Bakery, Inc.","182 Howard St, #403",SF,CA,37.78796406,-122.3977422,0.003471798
65674,30 02nd St,S.F.,94105,94105,37.7888,-122.401,null,H28,451320,94903,"Letap Acquisitions, Inc.","4302 Redwood Hwy, #200",San Rafael,CA,37.78796406,-122.3977422,0.003363352
65761,88 02nd St,S.F.,94105,94105,37.7882,-122.4,null,H25,413634,94105,Ali Kuc,88 2nd St.,SF,CA,37.78796406,-122.3977422,0.002270107
67049,500 Howard St,SF,94105,94105,37.7883,-122.396,null,H26,180332,94104,"Specialty's Caf̩ & Bakery, Inc.","115 Sansome Street, Suite #300",SF,CA,37.78796406,-122.3977422,0.00177428
67150,345 Spear St #125,S.F.,94105,94105,37.7894,-122.39,null,H26,458135,94105,Fish Six Restaurant Corporation,58 Tehama St,SF,CA,37.78796406,-122.3977422,0.007874223
67446,101 Spear St #A24,SF,94105,94105,37.7926,-122.394,null,H28,462098,94566,"Pleasant Foods, Inc.",1073 Nolan Court,Pleasanton,CA,37.78796406,-122.3977422,0.005957842
67510,215 Fremont St,SF,94105,94105,37.7889,-122.395,null,H24,446760,94903,Hastings Subway Inc.   Chirayu Patel,4302 Redwood Hwy #200,San Rafael,CA,37.78796406,-122.3977422,0.002897511
68247,560 Mission St Suite 125,SF,94105,94105,37.7884,-122.399,null,H25,465586,94111,"MG Restaurants, Inc.","475 Sansome Street, Suite 100S",Sf,CA,37.78796406,-122.3977422,0.001331215
68249,1 Market St,SF,94105,94105,37.7943,-122.395,null,H25,465586,94111,"MG Restaurants, Inc.","475 Sansome Street, Suite 100S",SF,CA,37.78796406,-122.3977422,0.00690389
68320,16 Jessie St,SF,94105,94105,37.7898,-122.399,null,H24,462574,94960,Newtree America Inc.,"508 San Anselmo Ave., Ste. 12",San Anselmo,CA,37.78796406,-122.3977422,0.002225479
68615,1 Market St #21B,SF,94105,94105,37.7943,-122.395,null,H24,433321,94105,Osha Thai Embarcadero Inc.,"338 Spear St., #33C",San Francisco,CA,37.78796406,-122.3977422,0.00690389
69208,30 Steuart St,SF,94105,94105,37.7941,-122.394,null,H24,468100,94105,One Market Restaurant Partners L.P.,"1 Market St., Suite 347, Spear Tower",SF,CA,37.78796406,-122.3977422,0.007187051
71599,609 Market St,S.F.,94105,94105,37.7891,-122.402,null,H29,452801,95687,C. C. Yin & Betty Lin,185 Butcher Rd,Vacaville,CA,37.78796406,-122.3977422,0.004406736
88,1435 17th St,S.F.,94107,94107,37.765,-122.398,null,H24,957402,94015,"NASRAH, NASSER I. & NAIEL I.",21 OAKRIDGE DR.,DALY CITY,CA,37.77273082,-122.3954591,0.008137666
200,600 20th St,S.F.,94107,94107,37.7606,-122.388,null,H24,188024,94132,KYU HO LEE,100 FONT BLVD. #1-J,S.F.,CA,37.77273082,-122.3954591,0.014240618
413,2 Townsend St,S.F.,94107,94107,37.7579,-122.394,null,H24,376116,94109,"HO, WAI KING & ZHU, LAING MEI",1512 CALIFORNIA ST. #2,S.F.,CA,37.77273082,-122.3954591,0.014902422
424,301 ARKANSAS St,S.F.,94107,94107,37.7623,-122.398,null,H28,385681,94025,"CYRYZ, Inc.",294 Santa Monica Avenue,Menlo Park,CA,37.77273082,-122.3954591,0.010735829
765,1434 18th St,S.F.,94107,94107,37.7626,-122.397,null,H24,921479,94122,APERTO INC.,245 LAWTON ST.,S.F.,CA,37.77273082,-122.3954591,0.01024733
768,2092 03rd St,S.F.,94107,94107,37.7632,-122.389,null,H24,151178,94109,"AKINAI, INC.",1450 VAN NESS AVE.,S.F.,CA,37.77273082,-122.3954591,0.011513327
773,405 TERRY FRANCOIS Blvd,S.F.,94107,94107,37.7733,-122.387,null,H24,779055,94107,"MARIPOSA HUNTERS POINT YACHT CLUB, INC.",405 TERRY FRANCOIS Blvd,S.F.,CA,37.77273082,-122.3954591,0.008478247
774,429 Terry Francois St,S.F.,94107,94107,37.7727,-122.387,null,H24,779056,94107,BAY VIEW BOAT CLUB,429 CHINA BASIN,S.F.,CA,37.77273082,-122.3954591,0.008459176
782,136 MISSOURI St,S.F.,94107,94107,37.7646,-122.397,14150770519,H23,484699,94112,"MONTE CRISTO SOCIAL CLUB, INC.",136 LISBON,S.F.,CA,37.77273082,-122.3954591,0.008275537
811,600 HARRISON St,S.F.,94107,94107,37.784,-122.396,null,H28,316211,94030,"NASRA, ELIAS; RIMA; REEM; HELEN & MIKE",800 HACIENDA ST.,MILLBRAE,CA,37.77273082,-122.3954591,0.011282155
1482,450 IRWIN St,S.F.,94107,94107,37.7672,-122.399,null,H24,331213,94014,"DRENG, KIM",235 BAY RIDGE DR.,DALY CITY,CA,37.77273082,-122.3954591,0.006567174
